PCTIME	PHB	RECORD	DEM0	DEM1	DEM2	DEM3	PWR0	PWR1	PWR2	PWR3	RF POWER	FREQUENCY
955	0	0	7	0	12	14	63930	62631	61563	62753	-1	-1.000000
955	0	0	7	3	12	17	63988	62795	61573	62798	-1	-1.000000
955	0	0	11	17	18	20	63979	62662	61564	62791	-1	-1.000000
955	0	0	9	11	9	15	63974	62683	61562	62788	-1	-1.000000
955	0	0	11	6	14	20	63967	62706	61509	62790	-1	-1.000000
955	0	0	7	2	10	13	63960	62723	61460	62777	-1	-1.000000
955	0	0	6	1	9	16	63966	62592	61461	62782	-1	-1.000000
955	0	0	0	1	8	9	63957	62683	61461	62772	-1	-1.000000
955	0	0	10	7	12	17	63965	62702	61462	62776	-1	-1.000000
955	0	0	17	11	19	24	63973	62736	61468	62780	-1	-1.000000
955	0	0	3	-1	6	11	63952	62667	61449	62766	-1	-1.000000
955	0	0	-2	0	9	10	63959	62756	61464	62778	-1	-1.000000
955	0	0	5	5	10	14	63964	62770	61532	62774	-1	-1.000000
955	0	0	11	6	9	16	63957	62706	61539	62775	-1	-1.000000
955	0	0	5	11	11	15	63958	62686	61535	62776	-1	-1.000000
955	0	0	10	8	14	20	63967	62724	61550	62783	-1	-1.000000
955	0	0	1	0	10	12	63970	62687	61542	62779	-1	-1.000000
955	0	0	12	13	15	19	63960	62675	61535	62770	-1	-1.000000
955	0	0	7	10	10	15	63951	62569	61530	62759	-1	-1.000000
955	0	0	10	9	14	18	63962	62512	61548	62777	-1	-1.000000
955	0	0	7	7	12	19	63963	62744	61543	62776	-1	-1.000000
955	0	0	6	2	9	13	63963	62594	61547	62774	-1	-1.000000
955	0	0	3	-9	7	3	63969	62738	61562	62784	-1	-1.000000
955	0	0	2	4	5	14	63972	62729	61557	62775	-1	-1.000000
955	0	0	3	-3	6	8	63978	62643	61576	62791	-1	-1.000000
